0.1192	0.8154
0.9398	0.8790
0.6456	0.9889
0.4795	0.0005
0.6393	0.8654
0.5447	0.6126
0.6473	0.9900
0.5439	0.5277
0.7210	0.4795
0.5225	0.8013
0.9937	0.2278
0.2187	0.4981
0.1058	0.9009
0.1097	0.5747
0.0636	0.8452
0.4046	0.7386
0.4484	0.5860
0.3658	0.2467
0.7635	0.6664
0.6279	0.0835
0.7720	0.6260
0.9329	0.6609
0.9727	0.7298
0.1920	0.8908
0.1389	0.9823
0.6963	0.7690
0.0938	0.5814
0.5254	0.9283
0.5303	0.5801
0.8611	0.0170
0.4849	0.1209
0.3935	0.8627
0.6714	0.4843
0.7413	0.8449
0.5201	0.2094
0.3477	0.5523
0.1500	0.6299
0.5861	0.0320
0.2621	0.6147
0.0445	0.3624
0.7549	0.0495
0.2428	0.4896
0.4424	0.1925
0.6878	0.1231
0.3592	0.2055
0.7363	0.1465
0.3947	0.1891
0.6834	0.0427
0.7040	0.6352
0.4423	0.2819
0.0196	0.5386
0.3309	0.6952
0.4243	0.4991
0.2703	0.5358
0.1971	0.4452
0.8217	0.1239
0.4299	0.4904
0.8878	0.8530
0.3912	0.8739
0.7691	0.2703
0.3968	0.2085
0.8085	0.5650
0.7551	0.6403
0.3774	0.4170
0.2160	0.2060
0.7904	0.9479
0.9493	0.0821
0.3276	0.1057
0.6713	0.1420
0.4386	0.1665
0.8335	0.6210
0.7689	0.5737
0.1673	0.0521
0.8620	0.9312
0.9899	0.7287
0.5144	0.7378
0.8843	0.0634
0.5880	0.8604
0.1548	0.9344
0.1999	0.9844
0.4070	0.8589
0.7487	0.7856
0.8256	0.5134
0.7900	0.1776
0.3185	0.3986
0.5341	0.1339
0.0900	0.0309
0.1117	0.9391
0.1363	0.3013
0.6787	0.2955
0.4952	0.3329
0.1897	0.4671
0.4950	0.6482
0.1476	0.0252
0.0550	0.8422
0.8507	0.5590
0.5606	0.8541
0.9296	0.3479
0.6967	0.4460
0.5828	0.0542
